episode,episode_reward
1,173.9772644
2,288.2576904
3,254.6763458
4,217.3459473
5,391.9344788
6,285.9281006
7,174.446106
8,186.3725281
9,142.1834564
10,208.1463623
11,158.8034515
12,170.4533081
13,137.7521057
14,168.5546417
15,140.1865845
16,156.4212646
17,147.6772156
18,94.22320557
19,191.3952637
20,119.9203568
21,182.6176605
22,158.7328644
23,124.6539459
24,167.6382294
25,177.6315155
26,151.5657349
27,78.88017273
28,130.8562775
29,125.9503937
30,204.3263092
31,86.58525848
32,77.07727051
33,150.0126801
34,167.2290039
35,84.64338684
36,185.0205078
37,128.4088135
38,83.61795807
39,79.19033813
40,151.928894
41,128.210495
42,156.9486084
43,116.2816162
44,147.8130035
45,123.5072556
46,123.4025574
47,226.4453125
48,161.9820709
49,131.0470428
50,144.372879
51,138.9255371
52,145.3484192
53,148.6185913
54,141.0602417
55,154.9756317
56,168.0508881
57,153.0771942
58,125.8630142
59,133.8739624
60,147.3225098
61,173.1429596
62,136.8691406
63,111.8554611
64,145.0058136
65,117.5575409
66,106.3062057
67,141.962738
68,139.7676239
69,147.7199402
70,130.129303
71,166.7655487
72,139.7999725
73,179.0788422
74,172.881073
75,163.1576691
76,166.5610809
77,190.4306946
78,189.8087006
79,216.7224274
80,164.1146545
81,153.2563782
82,188.4337158
83,185.8008575
84,203.9577026
85,170.070755
86,218.4176178
87,199.7133026
88,226.672348
89,240.5089569
90,202.5568237
91,183.2726746
92,171.509552
93,209.9934387
94,196.1703033
95,219.9078064
96,196.4989319
97,170.6798706
98,160.1273499
99,184.1133423
100,195.9648895
101,190.9819489
102,239.4644775
103,151.4017639
104,163.2512054
105,170.8430481
106,214.8952789
107,250.8703461
108,167.6643982
109,229.0739899
110,219.5800629
111,227.5333862
112,223.5427551
113,228.6523743
114,184.0062103
115,172.6872559
116,248.9439697
117,202.4779816
118,164.4866943
119,147.9514465
120,182.1998138
121,212.5549469
122,209.1875458
123,161.8848724
124,191.1337891
125,170.6624146
126,219.0110474
127,229.6975861
128,222.9771576
129,181.8865662
130,235.9193268
131,200.8657532
132,171.6506348
133,212.4257507
134,197.9828644
135,229.2368317
136,221.1430359
137,185.9740143
138,226.2372894
139,209.383728
140,152.9861603
141,192.6848297
142,240.6920929
143,206.8537598
144,225.9117889
145,221.7512512
146,230.7406769
147,184.2736816
148,178.4389648
149,172.8206329
150,193.9823608
151,189.1866302
152,255.861969
153,273.0962219
154,238.1759796
155,241.1402893
156,205.9928131
157,214.9683075
158,174.9357758
159,173.4078064
160,237.4070282
161,286.1843567
162,241.7744751
163,239.8782501
164,264.276886
165,276.9932556
166,292.1582947
167,272.1578369
168,173.0957489
169,260.3273926
170,215.6724396
171,198.9054871
172,207.1656189
173,198.4253998
174,288.5668335
175,258.619873
176,251.3814392
177,204.0229645
178,250.1542664
179,276.440155
180,217.652771
181,228.1859589
182,295.8299255
183,293.4099426
184,186.7493744
185,322.934021
186,207.3416595
187,232.5146637
188,201.2677155
189,272.3437195
190,239.980423
191,205.4338837
192,208.9436798
193,151.333252
194,241.1195984
195,203.0154114
196,283.68927
197,288.6561584
198,215.0279694
199,300.2236023
200,194.6624451
201,206.6923981
202,310.1670532
203,198.7628021
204,324.7893372
205,183.6546326
206,263.0598755
207,252.2927551
208,261.8066406
209,193.4301453
210,272.9788818
211,229.4346466
212,234.3112946
213,327.2903137
214,319.0673828
215,267.6209717
216,284.9970703
217,287.030365
218,269.9857178
219,270.1919861
220,273.4671326
221,255.4235077
222,147.3427277
223,196.3718567
224,196.9484863
225,216.4883423
226,250.6502075
227,272.789978
228,152.894989
229,173.2003021
230,314.7854004
231,204.5265961
232,264.7050171
233,183.9538116
234,188.0769653
235,246.6919098
236,223.2696381
237,294.3428345
238,296.6867676
239,269.1638489
240,279.8357544
241,168.7442169
242,260.263855
243,310.0037537
244,267.254425
245,275.3616028
246,210.1099854
247,272.7527771
248,172.4095154
249,292.2792664
250,178.5769653
251,249.1875458
252,283.7781372
253,250.2123108
254,319.0328064
255,173.6767731
256,282.5028076
257,192.6089325
258,217.422348
259,202.0409393
260,186.5099335
261,281.9751587
262,294.223938
263,318.2911072
264,226.0275421
265,290.1835022
266,196.8805237
267,135.4817657
268,307.3097229
269,249.8141937
270,239.0061035
271,312.3174744
272,295.6870117
273,233.5751495
274,250.4278107
275,274.7506104
276,278.6444397
277,206.4527435
278,295.8992004
279,233.9114685
280,257.4042053
281,300.6096497
282,243.8157654
283,241.5328522
284,321.7723694
285,296.618927
286,278.3291016
287,276.3817444
288,229.7429504
289,191.2810516
290,170.0171967
291,193.5717316
292,340.5440979
293,242.3269501
294,282.6313171
295,183.782074
296,287.2977905
297,196.3103027
298,284.486145
299,310.4438477
300,324.1040649
301,271.6172485
302,275.2067261
303,296.8677368
304,239.8081207
305,168.2428131
306,227.0310974
307,276.3808594
308,262.4144287
309,283.2858276
310,247.5350189
311,285.0458679
312,226.9953918
313,296.2532043
314,229.2272339
315,183.5476379
316,151.7732697
317,240.9984894
318,260.2565613
319,163.5753632
320,174.4139557
321,192.6613617
322,248.1816711
323,228.7273254
324,260.2935791
325,284.4411316
326,262.216217
327,215.1343994
328,188.4801636
329,341.304718
330,199.1156769
331,208.8070068
332,255.5058289
333,318.475708
334,254.0633087
335,364.6512451
336,233.4631958
337,248.7362213
338,216.57341
339,261.1978455
340,291.7137451
341,286.0118408
342,290.6685181
343,276.8580017
344,290.4825134
345,270.8902588
346,314.5745544
347,157.6291351
348,328.3598938
349,246.1585083
350,199.4537354
351,253.1209106
352,302.5593872
353,269.7399597
354,279.388092
355,276.3565369
356,240.6987
357,274.9373779
358,269.6997375
359,284.6864929
360,197.9754639
361,230.1673279
362,278.847229
363,221.6279297
364,300.2245178
365,224.7527618
366,218.814209
367,292.4728394
368,309.7102966
369,333.5742188
370,161.0329895
371,247.6874084
372,305.4031677
373,254.3611603
374,216.0791473
375,294.5214233
376,223.8082886
377,188.666626
378,248.0886078
379,321.3379211
380,299.4620972
381,178.5148315
382,173.572998
383,182.380188
384,309.510437
385,158.5299683
386,203.2599792
387,300.5189209
388,258.3537598
389,185.0709534
390,195.2996216
391,328.177124
392,271.8738098
393,202.0054779
394,306.6147156
395,265.4217224
396,285.4151917
397,315.4941711
398,216.6903839
399,259.2713928
400,293.9774475
401,255.4416046
402,285.4845581
403,176.5082092
404,204.6887817
405,204.647171
406,272.1234436
407,235.2144318
408,300.1473083
409,254.758255
410,247.2654877
411,224.7496338
412,186.2405243
413,237.9012756
414,294.3556519
415,276.8920593
416,293.4873352
417,205.8388062
418,267.0570984
419,166.5888824
420,261.5232239
421,295.5549011
422,250.1920929
423,224.3732147
424,222.2686462
425,293.5508423
426,232.4839325
427,236.3885345
428,209.1095276
429,249.6403351
430,234.0518951
431,316.18396
432,240.220993
433,256.1672363
434,248.6307983
435,225.6283722
436,285.72229
437,159.5184326
438,255.2898254
439,304.8681946
440,221.704361
441,261.2182007
442,227.6414948
443,176.340744
444,266.2055969
445,268.3243408
446,268.9970398
447,305.0710449
448,195.1958008
449,310.4792786
450,276.4165955
451,215.954834
452,281.4225159
453,265.5741272
454,206.3135071
455,296.1033936
456,275.1913452
457,246.7428131
458,176.9850922
459,212.600647
460,358.5550537
461,302.184021
462,232.667923
463,253.0871735
464,216.4256134
465,221.8870392
466,266.6390076
467,239.7047272
468,236.7367096
469,298.5160828
470,177.1439514
471,307.2046204
472,280.0224609
473,245.9629669
474,333.5924072
475,182.4869843
476,193.7021942
477,327.696106
478,208.2560883
479,205.2124329
480,308.497345
481,182.7840576
482,291.7607727
483,225.2290192
484,208.0437469
485,243.4083862
486,249.0957489
487,278.8256531
488,236.3722992
489,207.0832825
490,273.5303955
491,338.6636963
492,347.3908997
493,288.2216187
494,294.1206665
495,199.9819031
496,297.3067932
497,233.078476
498,270.5414734
499,302.6730652
500,247.6365051
501,298.1384277
502,248.602005
503,269.8403931
504,237.1382904
505,301.8651733
506,330.9602661
507,307.2093201
508,290.7104187
509,182.8950195
510,272.3939209
511,301.1922607
512,304.0475464
513,341.2845459
514,320.6221008
515,278.8526917
516,260.1268616
517,312.8320313
518,325.2837219
519,189.5021362
520,171.8911438
521,319.0411987
522,269.1412964
523,222.8042603
524,309.7695007
525,365.5738525
526,255.0276031
527,219.9776917
528,296.2686157
529,309.991394
530,234.5004578
531,208.0160522
532,276.9171753
533,307.8335266
534,264.5070496
535,272.269043
536,334.143219
537,288.7606201
538,306.7658081
539,187.8208313
540,309.7251587
541,231.4566193
542,170.593338
543,275.0464172
544,317.4585266
545,294.8580933
546,313.4628296
547,336.7931519
548,286.0824585
549,352.002594
550,322.5775452
551,315.6443481
552,215.7705231
553,216.2422638
554,280.3395386
555,244.0189362
556,208.2729187
557,275.9104309
558,265.2880249
559,307.3210449
560,323.8914185
561,201.8845978
562,291.9411011
563,325.5740662
564,169.2558289
565,285.9897156
566,310.4408569
567,242.2621155
568,326.8935242
569,243.5402374
570,297.8458557
571,305.3504333
572,323.6041565
573,231.2447052
574,246.7197266
575,302.1092529
576,337.9743042
577,189.97612
578,307.6402893
579,260.8816528
580,211.007431
581,332.4545288
582,293.2807922
583,268.5660095
584,261.0301819
585,228.632843
586,244.3010101
587,222.1949768
588,289.1758423
589,256.4793091
590,265.1340942
591,183.5026398
592,185.6868591
593,337.8894043
594,263.1795959
595,270.0925293
596,339.0348511
597,299.3724365
598,359.6639099
599,278.5150146
600,279.7392273
601,182.8947601
602,300.1286316
603,305.3059692
604,241.2301636
605,270.3554688
606,260.4536743
607,233.605957
608,208.7069855
609,210.9281921
610,317.414856
611,232.1025696
612,209.5731201
613,299.1848145
614,151.9135437
615,201.9210052
616,110.2943802
617,224.7631683
618,306.9881592
619,299.9882813
620,315.5679932
621,303.102478
622,239.5807953
623,285.2294922
624,364.5044861
625,299.6296387
626,290.6852417
627,322.217865
628,336.3891602
629,273.9109192
630,308.0466309
631,334.6766357
632,218.1974487
633,257.1340027
634,270.3378296
635,286.9968262
636,211.7857208
637,330.3233032
638,303.414978
639,239.0492249
640,323.1797791
641,232.8822937
642,164.5271912
643,316.6531067
644,247.9269562
645,231.2290649
646,300.1088562
647,215.8564911
648,214.867691
649,232.0979462
650,294.250885
651,200.0475311
652,306.5335388
653,255.8575592
654,197.0359039
655,282.1871033
656,276.4011536
657,233.0564423
658,254.182663
659,296.046875
660,331.6768799
661,173.7953491
662,296.280426
663,319.6696472
664,335.0722351
665,242.0655975
666,312.0796204
667,252.690506
